일시,위도(null),경도(null),강도(null),낙뢰 강도 극성 구분(null)
2019-05-01 11:35:12.708,33.7798,127.3320,8.0,대지방전
2019-05-01 15:48:43.620,35.2532,128.3100,-8.6,구름방전
2019-05-01 15:50:59.484,35.2461,128.3300,10.9,대지방전
2019-05-01 16:02:52.671,35.2326,128.3400,-13.1,대지방전
2019-05-01 16:02:52.696,35.2321,128.3370,-5.1,구름방전
2019-05-01 16:02:52.720,35.2260,128.3620,-6.3,대지방전
2019-05-01 16:10:10.508,35.1706,128.4860,-7.0,대지방전
2019-05-01 16:10:24.947,35.2048,128.4220,5.8,구름방전
2019-05-01 16:10:25.068,35.2163,128.3670,-6.8,대지방전
2019-05-01 16:10:25.236,35.2210,128.4730,-6.1,구름방전
2019-05-01 16:15:13.677,35.1510,128.4480,-13.7,대지방전
2019-05-01 16:15:13.677,35.1741,128.5080,53.2,대지방전
2019-05-01 16:15:14.042,35.1049,128.4720,11.8,대지방전
2019-05-01 16:24:23.110,35.2195,128.3970,-61.8,대지방전
2019-05-01 16:25:50.290,35.2164,128.3960,-6.9,구름방전
2019-05-01 16:25:50.716,35.1729,128.4540,-12.6,대지방전
2019-05-01 16:25:50.720,35.1867,128.5050,-11.1,대지방전
2019-05-01 16:25:50.721,35.1916,128.4890,-7.7,대지방전
2019-05-01 16:25:50.723,35.1850,128.5000,-8.4,대지방전
2019-05-01 16:25:50.725,35.1916,128.5050,-7.9,대지방전
2019-05-01 16:25:50.845,35.1769,128.4710,-10.5,대지방전
2019-05-01 16:36:40.858,35.1377,128.5250,7.6,대지방전
2019-05-01 16:36:41.067,35.1521,128.6050,13.0,대지방전
2019-05-01 16:36:41.363,35.0897,128.7880,5.7,구름방전
2019-05-01 16:38:38.472,35.1165,128.5240,14.9,대지방전
2019-05-01 16:38:38.482,35.1190,128.5240,-11.4,대지방전
2019-05-01 16:38:38.496,35.1167,128.5250,-7.6,대지방전
2019-05-01 16:41:35.494,35.1285,128.6120,-6.8,대지방전
2019-05-01 16:41:35.503,35.1353,128.6570,6.7,구름방전
